epoch,train_loss,val_loss,val_accuracy,lr
129,0.094049,0.123609,0.716667,0.0001
130,0.0940227,0.123916,0.711667,0.0001
131,0.0938462,0.12413,0.711667,0.0001
132,0.0938922,0.123995,0.713333,0.0001
133,0.0937695,0.123829,0.711667,0.0001
134,0.0936392,0.124,0.715,0.0001
135,0.0937654,0.123629,0.71,0.0001
136,0.0935615,0.124704,0.71,0.0001
137,0.0934849,0.123734,0.706667,0.0001
138,0.0935096,0.123497,0.711667,0.0001
139,0.0933552,0.123964,0.718333,0.0001
140,0.0931434,0.124473,0.708333,0.0001
141,0.0931542,0.123701,0.711667,0.0001
142,0.0930593,0.123386,0.713333,0.0001
143,0.0929746,0.123742,0.711667,0.0001
144,0.0928425,0.124245,0.71,0.0001
145,0.0928306,0.124115,0.711667,0.0001
146,0.0926948,0.123651,0.713333,0.0001
147,0.0926121,0.123724,0.71,0.0001
148,0.0926063,0.12316,0.71,0.0001
149,0.0925035,0.123092,0.713333,0.0001
150,0.0925227,0.123244,0.706667,0.0001
151,0.0923661,0.12329,0.715,0.0001
152,0.0922949,0.122819,0.71,0.0001
153,0.0922259,0.123085,0.713333,0.0001
154,0.0919852,0.12368,0.706667,0.0001
155,0.0920281,0.122766,0.715,0.0001
156,0.0920431,0.123439,0.715,0.0001
157,0.0918775,0.123214,0.713333,0.0001
158,0.0918254,0.123292,0.71,0.0001
159,0.0917642,0.123084,0.715,0.0001
160,0.091645,0.122999,0.711667,0.0001
161,0.0915171,0.123714,0.711667,0.0001
162,0.0914645,0.122673,0.713333,0.0001
163,0.091379,0.122711,0.713333,0.0001
164,0.091291,0.123911,0.713333,0.0001
165,0.091221,0.122957,0.706667,0.0001
166,0.0912675,0.122727,0.71,0.0001
167,0.0913046,0.122531,0.71,0.0001
168,0.0909317,0.122637,0.713333,0.0001
169,0.0909349,0.122942,0.71,0.0001
170,0.0910143,0.123386,0.711667,0.0001
171,0.0908167,0.12314,0.708333,0.0001
172,0.0906272,0.12284,0.715,0.0001
